0 010324 05:03:35 00001 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
1 010324 05:04:10 00002 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
2 010324 05:05:20 00003 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
3 010324 05:06:37 00004 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
4 010324 05:07:50 00005 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
5 010324 05:08:22 00006 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
6 010324 05:09:33 00007 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
7 010324 05:10:49 00008 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
8 010324 05:12:03 00009 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
9 010324 05:12:36 00010 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
10 010324 05:13:46 00011 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
11 010324 05:15:04 00012 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
12 010324 05:16:17 00013 SRC ABS_OBS  KILLED GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
13 010324 09:12:06 00014 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
14 010324 09:12:42 00015 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
15 010324 09:13:53 00016 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
16 010324 09:15:10 00017 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
17 010324 09:16:23 00018 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
18 010324 09:16:55 00019 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
19 010324 09:18:06 00020 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
20 010324 09:19:24 00021 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
21 010324 09:20:38 00022 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
22 010324 09:21:11 00023 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
23 010324 09:22:21 00024 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
24 010324 09:23:38 00025 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
25 010324 09:24:52 00026 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
26 010324 09:25:23 00027 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
27 010324 09:26:34 00028 REF ABS_OBS  KILLED GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
28 010324 09:30:46 00029 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
29 010324 09:31:17 00030 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
30 010324 09:31:37 00031 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
31 010324 09:32:06 00032 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
32 010324 09:32:29 00033 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
33 010324 09:33:01 00034 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
34 010324 09:33:22 00035 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
35 010324 09:33:50 00036 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
36 010324 09:34:13 00037 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
37 010324 09:34:44 00038 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
38 010324 09:35:04 00039 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
39 010324 09:35:33 00040 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
40 010324 09:35:58 00041 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
41 010424 03:39:41 00042 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
42 010424 03:40:21 00043 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
43 010424 03:40:41 00044 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
44 010424 03:41:11 00045 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
45 010424 03:41:34 00046 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
46 010424 03:42:07 00047 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
47 010424 03:42:27 00048 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
48 010424 03:42:57 00049 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
49 010424 03:43:20 00050 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
50 010424 03:43:53 00051 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
51 010424 03:44:14 00052 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
52 010424 03:44:45 00053 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
53 010424 03:45:08 00054 SRC ABS_OBS  KILLED GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
54 010424 04:20:57 00055 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
55 010424 04:21:31 00056 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
56 010424 04:21:52 00057 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
57 010424 04:22:22 00058 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
58 010424 04:22:46 00059 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
59 010424 04:23:20 00060 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
60 010424 04:23:40 00061 REF ABS_OBS  OK     GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
61 010424 04:24:11 00062 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
62 010424 04:24:34 00063 SRC ABS_OBS  OK     GALACTIC_DEG (287.380, -0.640)>(  0.000,  0.000) 015 02164 etaCar5
63 010424 04:24:57 00000 REF ABS_OBS  KILLED GALACTIC_DEG (287.380, -0.300)>(  0.000,  0.000) 015 02164 etaCar5
64 010424 04:30:52 00064 SRC SPIRAL   OK     dAZ_dEL      (    -49,   -147)>(     0,      0 ) 015 -0001 etaCar2
65 010424 04:31:37 00065 SRC SPIRAL   OK     dAZ_dEL      (     70,   -147)>(     0,      0 ) 015 -0001 etaCar2
66 010424 04:32:21 00066 SRC SPIRAL   OK     dAZ_dEL      (     70,    -27)>(     0,      0 ) 015 -0001 etaCar2
67 010424 04:33:06 00067 SRC SPIRAL   OK     dAZ_dEL      (    -49,    -27)>(     0,      0 ) 015 -0001 etaCar2
68 010424 04:33:50 00068 SRC SPIRAL   OK     dAZ_dEL      (   -169,    -27)>(     0,      0 ) 015 -0001 etaCar2
69 010424 04:34:35 00069 SRC SPIRAL   OK     dAZ_dEL      (   -169,   -147)>(     0,      0 ) 015 -0001 etaCar2
70 010424 04:35:19 00070 SRC SPIRAL   OK     dAZ_dEL      (   -169,   -267)>(     0,      0 ) 015 -0001 etaCar2
71 010424 04:36:06 00071 SRC SPIRAL   OK     dAZ_dEL      (    -49,   -267)>(     0,      0 ) 015 -0001 etaCar2
72 010424 04:36:50 00072 SRC SPIRAL   OK     dAZ_dEL      (     70,   -267)>(     0,      0 ) 015 -0001 etaCar2
73 010424 04:37:34 00073 SRC SPIRAL   OK     dAZ_dEL      (    190,   -267)>(     0,      0 ) 015 -0001 etaCar2
74 010424 04:38:19 00074 SRC SPIRAL   OK     dAZ_dEL      (    190,   -147)>(     0,      0 ) 015 -0001 etaCar2
75 010424 04:39:04 00075 SRC SPIRAL   OK     dAZ_dEL      (    190,    -27)>(     0,      0 ) 015 -0001 etaCar2
76 010424 04:39:49 00076 SRC SPIRAL   OK     dAZ_dEL      (    190,     92)>(     0,      0 ) 015 -0001 etaCar2
77 010424 04:40:33 00077 SRC SPIRAL   OK     dAZ_dEL      (     70,     92)>(     0,      0 ) 015 -0001 etaCar2
78 010424 04:41:20 00078 SRC SPIRAL   OK     dAZ_dEL      (    -49,     92)>(     0,      0 ) 015 -0001 etaCar2
79 010424 04:42:05 00079 SRC SPIRAL   OK     dAZ_dEL      (   -169,     92)>(     0,      0 ) 015 -0001 etaCar2
80 010424 04:42:49 00080 SRC SPIRAL   OK     dAZ_dEL      (   -289,     92)>(     0,      0 ) 015 -0001 etaCar2
81 010424 04:43:34 00081 SRC SPIRAL   OK     dAZ_dEL      (   -289,    -27)>(     0,      0 ) 015 -0001 etaCar2
82 010424 04:44:19 00082 SRC SPIRAL   OK     dAZ_dEL      (   -289,   -147)>(     0,      0 ) 015 -0001 etaCar2
83 010424 04:45:03 00083 SRC SPIRAL   OK     dAZ_dEL      (   -289,   -267)>(     0,      0 ) 015 -0001 etaCar2
84 010424 04:45:48 00084 SRC SPIRAL   OK     dAZ_dEL      (   -289,   -387)>(     0,      0 ) 015 -0001 etaCar2
85 010424 04:46:34 00085 SRC SPIRAL   OK     dAZ_dEL      (   -169,   -387)>(     0,      0 ) 015 -0001 etaCar2
86 010424 04:47:19 00086 SRC SPIRAL   OK     dAZ_dEL      (    -49,   -387)>(     0,      0 ) 015 -0001 etaCar2
87 010424 04:48:04 00087 SRC SPIRAL   OK     dAZ_dEL      (     70,   -387)>(     0,      0 ) 015 -0001 etaCar2
88 010424 04:48:48 00088 SRC SPIRAL   OK     dAZ_dEL      (    190,   -387)>(     0,      0 ) 015 -0009 etaCar2
89 010424 08:05:44 00089 SRC SPIRAL   OK     dAZ_dEL      (    -49,   -147)>(     0,      0 ) 015 -0001 etaCar2
90 010424 08:06:52 00090 SRC SPIRAL   OK     dAZ_dEL      (    190,   -147)>(     0,      0 ) 015 -0001 etaCar2
91 010424 08:08:01 00091 SRC SPIRAL   OK     dAZ_dEL      (    190,     92)>(     0,      0 ) 015 -0001 etaCar2
92 010424 08:09:09 00092 SRC SPIRAL   OK     dAZ_dEL      (    -49,     92)>(     0,      0 ) 015 -0001 etaCar2
93 010424 08:10:18 00093 SRC SPIRAL   OK     dAZ_dEL      (   -289,     92)>(     0,      0 ) 015 -0001 etaCar2
94 010424 08:11:28 00094 SRC SPIRAL   OK     dAZ_dEL      (   -289,   -147)>(     0,      0 ) 015 -0001 etaCar2
95 010424 08:12:37 00095 SRC SPIRAL   OK     dAZ_dEL      (   -289,   -387)>(     0,      0 ) 015 -0001 etaCar2
96 010424 08:13:46 00096 SRC SPIRAL   OK     dAZ_dEL      (    -49,   -387)>(     0,      0 ) 015 -0001 etaCar2
97 010424 08:14:54 00097 SRC SPIRAL   OK     dAZ_dEL      (    190,   -387)>(     0,      0 ) 015 -0001 etaCar2
98 010424 08:16:03 00098 SRC SPIRAL   OK     dAZ_dEL      (    430,   -387)>(     0,      0 ) 015 -0001 etaCar2
99 010424 08:17:13 00099 SRC SPIRAL   OK     dAZ_dEL      (    430,   -147)>(     0,      0 ) 015 -0001 etaCar2
100 010424 08:18:22 00100 SRC SPIRAL   OK     dAZ_dEL      (    430,     92)>(     0,      0 ) 015 -0001 etaCar2
101 010424 08:19:30 00101 SRC SPIRAL   OK     dAZ_dEL      (    430,    332)>(     0,      0 ) 015 -0001 etaCar2
102 010424 08:20:39 00102 SRC SPIRAL   OK     dAZ_dEL      (    190,    332)>(     0,      0 ) 015 -0001 etaCar2
103 010424 08:21:48 00103 SRC SPIRAL   OK     dAZ_dEL      (    -49,    332)>(     0,      0 ) 015 -0001 etaCar2
104 010424 08:22:59 00104 SRC SPIRAL   OK     dAZ_dEL      (   -289,    332)>(     0,      0 ) 015 -0001 etaCar2
105 010424 08:24:07 00105 SRC SPIRAL   OK     dAZ_dEL      (   -529,    332)>(     0,      0 ) 015 -0001 etaCar2
106 010424 08:25:16 00106 SRC SPIRAL   OK     dAZ_dEL      (   -529,     92)>(     0,      0 ) 015 -0001 etaCar2
107 010424 08:26:24 00107 SRC SPIRAL   OK     dAZ_dEL      (   -529,   -147)>(     0,      0 ) 015 -0001 etaCar2
108 010424 08:27:33 00108 SRC SPIRAL   OK     dAZ_dEL      (   -529,   -387)>(     0,      0 ) 015 -0001 etaCar2
109 010424 08:28:44 00109 SRC SPIRAL   OK     dAZ_dEL      (   -529,   -627)>(     0,      0 ) 015 -0001 etaCar2
110 010424 08:29:52 00110 SRC SPIRAL   OK     dAZ_dEL      (   -289,   -627)>(     0,      0 ) 015 -0001 etaCar2
111 010424 08:31:01 00111 SRC SPIRAL   OK     dAZ_dEL      (    -49,   -627)>(     0,      0 ) 015 -0001 etaCar2
112 010424 08:32:10 00112 SRC SPIRAL   OK     dAZ_dEL      (    190,   -627)>(     0,      0 ) 015 -0001 etaCar2
113 010424 08:33:18 00113 SRC SPIRAL   OK     dAZ_dEL      (    430,   -627)>(     0,      0 ) 015 -0009 etaCar2
114 010424 10:09:42 00114 SRC SPIRAL   OK     dAZ_dEL      (    -49,   -147)>(     0,      0 ) 015 -0001 etaCar2
115 010424 10:10:51 00115 SRC SPIRAL   OK     dAZ_dEL      (    190,   -147)>(     0,      0 ) 015 -0001 etaCar2
116 010424 10:14:04 00116 SRC SPIRAL   OK     dAZ_dEL      (    -49,   -147)>(     0,      0 ) 015 -0001 etaCar2
117 010424 10:15:15 00117 SRC SPIRAL   OK     dAZ_dEL      (    190,   -147)>(     0,      0 ) 015 -0001 etaCar2
118 010424 10:16:23 00118 SRC SPIRAL   OK     dAZ_dEL      (    190,     92)>(     0,      0 ) 015 -0001 etaCar2
119 010424 10:17:32 00119 SRC SPIRAL   OK     dAZ_dEL      (    -49,     92)>(     0,      0 ) 015 -0001 etaCar2
120 010424 10:18:40 00120 SRC SPIRAL   OK     dAZ_dEL      (   -289,     92)>(     0,      0 ) 015 -0001 etaCar2
121 010424 10:19:49 00121 SRC SPIRAL   OK     dAZ_dEL      (   -289,   -147)>(     0,      0 ) 015 -0001 etaCar2
122 010424 10:21:00 00122 SRC SPIRAL   OK     dAZ_dEL      (   -289,   -387)>(     0,      0 ) 015 -0001 etaCar2
123 010424 10:22:09 00123 SRC SPIRAL   OK     dAZ_dEL      (    -49,   -387)>(     0,      0 ) 015 -0001 etaCar2
124 010424 10:23:17 00124 SRC SPIRAL   OK     dAZ_dEL      (    190,   -387)>(     0,      0 ) 015 -0001 etaCar2
125 010424 10:24:26 00125 SRC SPIRAL   OK     dAZ_dEL      (    430,   -387)>(     0,      0 ) 015 -0001 etaCar2
126 010424 10:25:34 00126 SRC SPIRAL   OK     dAZ_dEL      (    430,   -147)>(     0,      0 ) 015 -0001 etaCar2
127 010424 10:26:45 00127 SRC SPIRAL   OK     dAZ_dEL      (    430,     92)>(     0,      0 ) 015 -0001 etaCar2
128 010424 10:27:54 00128 SRC SPIRAL   OK     dAZ_dEL      (    430,    332)>(     0,      0 ) 015 -0001 etaCar2
129 010424 10:29:02 00129 SRC SPIRAL   OK     dAZ_dEL      (    190,    332)>(     0,      0 ) 015 -0001 etaCar2
130 010424 10:30:11 00130 SRC SPIRAL   OK     dAZ_dEL      (    -49,    332)>(     0,      0 ) 015 -0001 etaCar2
131 010424 10:31:19 00131 SRC SPIRAL   OK     dAZ_dEL      (   -289,    332)>(     0,      0 ) 015 -0001 etaCar2
132 010424 10:32:30 00132 SRC SPIRAL   OK     dAZ_dEL      (   -529,    332)>(     0,      0 ) 015 -0001 etaCar2
133 010424 10:33:38 00133 SRC SPIRAL   OK     dAZ_dEL      (   -529,     92)>(     0,      0 ) 015 -0001 etaCar2
134 010424 10:34:47 00134 SRC SPIRAL   OK     dAZ_dEL      (   -529,   -147)>(     0,      0 ) 015 -0001 etaCar2
135 010424 10:35:56 00135 SRC SPIRAL   OK     dAZ_dEL      (   -529,   -387)>(     0,      0 ) 015 -0001 etaCar2
136 010424 10:37:05 00136 SRC SPIRAL   OK     dAZ_dEL      (   -529,   -627)>(     0,      0 ) 015 -0001 etaCar2
137 010424 10:38:15 00137 SRC SPIRAL   OK     dAZ_dEL      (   -289,   -627)>(     0,      0 ) 015 -0001 etaCar2
138 010424 10:39:24 00138 SRC SPIRAL   OK     dAZ_dEL      (    -49,   -627)>(     0,      0 ) 015 -0001 etaCar2
139 010424 10:40:33 00139 SRC SPIRAL   OK     dAZ_dEL      (    190,   -627)>(     0,      0 ) 015 -0001 etaCar2
140 010424 10:41:41 00140 SRC SPIRAL   OK     dAZ_dEL      (    430,   -627)>(     0,      0 ) 015 -0009 etaCar2
0 010424 14:56:26 00141 SRC SPIRAL   OK     dAZ_dEL      (      0,   -147)>(     0,      0 ) 015 -0001 etaCar2
1 010424 14:57:42 00142 SRC SPIRAL   OK     dAZ_dEL      (    240,   -147)>(     0,      0 ) 015 -0001 etaCar2
2 010424 14:58:58 00143 SRC SPIRAL   OK     dAZ_dEL      (    240,     92)>(     0,      0 ) 015 -0001 etaCar2
3 010424 14:59:26 00144 SRC SPIRAL   OK     dAZ_dEL      (      0,     92)>(     0,      0 ) 015 -0001 etaCar2
4 010424 14:59:51 00145 SRC SPIRAL   OK     dAZ_dEL      (   -240,     92)>(     0,      0 ) 015 -0001 etaCar2
5 010424 15:01:29 00146 SRC SPIRAL   OK     dAZ_dEL      (      0,   -147)>(     0,      0 ) 015 -0001 etaCar2
6 010424 15:01:54 00147 SRC SPIRAL   OK     dAZ_dEL      (    240,   -147)>(     0,      0 ) 015 -0001 etaCar2
8 010424 15:02:46 00149 SRC SPIRAL   OK     dAZ_dEL      (      0,     92)>(     0,      0 ) 015 -0001 etaCar2
